c-ip,Organization
128.101.129.9,"UNIVER-233-Z (University of Minnesota)"
128.101.129.96,"UNIVER-233-Z (University of Minnesota)"
128.101.132.230,"UNIVER-233-Z (University of Minnesota)"
128.101.132.232,"UNIVER-233-Z (University of Minnesota)"
128.101.132.51,"UNIVER-233-Z (University of Minnesota)"
128.101.138.117,"UNIVER-233-Z (University of Minnesota)"
128.101.138.80,"UNIVER-233-Z (University of Minnesota)"
128.101.142.134,"UNIVER-233-Z (University of Minnesota)"
128.101.151.210,"UNIVER-233-Z (University of Minnesota)"
128.101.151.52,"UNIVER-233-Z (University of Minnesota)"
128.101.160.100,"UNIVER-233-Z (University of Minnesota)"
128.101.160.156,"UNIVER-233-Z (University of Minnesota)"
128.101.174.57,"UNIVER-233-Z (University of Minnesota)"
128.101.174.64,"UNIVER-233-Z (University of Minnesota)"
128.101.187.3,"UNIVER-233-Z (University of Minnesota)"
128.101.187.34,"UNIVER-233-Z (University of Minnesota)"
128.101.192.101,"UNIVER-233-Z (University of Minnesota)"
128.101.192.31,"UNIVER-233-Z (University of Minnesota)"
128.101.192.99,"UNIVER-233-Z (University of Minnesota)"
128.101.202.106,"UNIVER-233-Z (University of Minnesota)"
128.101.202.97,"UNIVER-233-Z (University of Minnesota)"
128.101.203.136,"UNIVER-233-Z (University of Minnesota)"
128.101.203.137,"UNIVER-233-Z (University of Minnesota)"
128.101.203.238,"UNIVER-233-Z (University of Minnesota)"
128.101.205.132,"UNIVER-233-Z (University of Minnesota)"
128.101.205.134,"UNIVER-233-Z (University of Minnesota)"
128.101.205.171,"UNIVER-233-Z (University of Minnesota)"
128.101.205.172,"UNIVER-233-Z (University of Minnesota)"
128.101.205.179,"UNIVER-233-Z (University of Minnesota)"
128.101.205.186,"UNIVER-233-Z (University of Minnesota)"
128.101.205.205,"UNIVER-233-Z (University of Minnesota)"
128.101.205.211,"UNIVER-233-Z (University of Minnesota)"
128.101.205.212,"UNIVER-233-Z (University of Minnesota)"
128.101.205.221,"UNIVER-233-Z (University of Minnesota)"
128.101.205.227,"UNIVER-233-Z (University of Minnesota)"
128.101.205.232,"UNIVER-233-Z (University of Minnesota)"
128.101.205.237,"UNIVER-233-Z (University of Minnesota)"
128.101.205.241,"UNIVER-233-Z (University of Minnesota)"
128.101.205.243,"UNIVER-233-Z (University of Minnesota)"
128.101.205.246,"UNIVER-233-Z (University of Minnesota)"
128.101.205.247,"UNIVER-233-Z (University of Minnesota)"
128.101.217.129,"UNIVER-233-Z (University of Minnesota)"
128.101.217.131,"UNIVER-233-Z (University of Minnesota)"
128.101.217.151,"UNIVER-233-Z (University of Minnesota)"
128.101.217.159,"UNIVER-233-Z (University of Minnesota)"
128.101.217.160,"UNIVER-233-Z (University of Minnesota)"
128.101.217.165,"UNIVER-233-Z (University of Minnesota)"
128.101.217.180,"UNIVER-233-Z (University of Minnesota)"
128.101.227.163,"UNIVER-233-Z (University of Minnesota)"
128.101.241.16,"UNIVER-233-Z (University of Minnesota)"
128.101.241.17,"UNIVER-233-Z (University of Minnesota)"
128.101.241.61,"UNIVER-233-Z (University of Minnesota)"
128.101.243.109,"UNIVER-233-Z (University of Minnesota)"
128.101.243.250,"UNIVER-233-Z (University of Minnesota)"
128.101.243.69,"UNIVER-233-Z (University of Minnesota)"
128.101.243.80,"UNIVER-233-Z (University of Minnesota)"
128.101.243.91,"UNIVER-233-Z (University of Minnesota)"
128.101.28.38,"UNIVER-233-Z (University of Minnesota)"
128.101.39.244,"UNIVER-233-Z (University of Minnesota)"
128.101.4.1,"UNIVER-233-Z (University of Minnesota)"
128.101.4.108,"UNIVER-233-Z (University of Minnesota)"
128.101.4.109,"UNIVER-233-Z (University of Minnesota)"
128.101.4.112,"UNIVER-233-Z (University of Minnesota)"
128.101.4.122,"UNIVER-233-Z (University of Minnesota)"
128.101.4.126,"UNIVER-233-Z (University of Minnesota)"
128.101.4.13,"UNIVER-233-Z (University of Minnesota)"
128.101.4.130,"UNIVER-233-Z (University of Minnesota)"
128.101.4.139,"UNIVER-233-Z (University of Minnesota)"
128.101.4.146,"UNIVER-233-Z (University of Minnesota)"
128.101.4.148,"UNIVER-233-Z (University of Minnesota)"
128.101.4.150,"UNIVER-233-Z (University of Minnesota)"
128.101.4.152,"UNIVER-233-Z (University of Minnesota)"
128.101.4.167,"UNIVER-233-Z (University of Minnesota)"
128.101.4.190,"UNIVER-233-Z (University of Minnesota)"
128.101.4.208,"UNIVER-233-Z (University of Minnesota)"
128.101.4.212,"UNIVER-233-Z (University of Minnesota)"
128.101.4.214,"UNIVER-233-Z (University of Minnesota)"
128.101.4.224,"UNIVER-233-Z (University of Minnesota)"
128.101.4.229,"UNIVER-233-Z (University of Minnesota)"
128.101.4.232,"UNIVER-233-Z (University of Minnesota)"
128.101.4.234,"UNIVER-233-Z (University of Minnesota)"
128.101.4.244,"UNIVER-233-Z (University of Minnesota)"
128.101.4.37,"UNIVER-233-Z (University of Minnesota)"
128.101.4.38,"UNIVER-233-Z (University of Minnesota)"
128.101.4.50,"UNIVER-233-Z (University of Minnesota)"
128.101.4.59,"UNIVER-233-Z (University of Minnesota)"
128.101.4.63,"UNIVER-233-Z (University of Minnesota)"
128.101.4.73,"UNIVER-233-Z (University of Minnesota)"
128.101.44.105,"UNIVER-233-Z (University of Minnesota)"
128.101.46.173,"UNIVER-233-Z (University of Minnesota)"
128.101.46.189,"UNIVER-233-Z (University of Minnesota)"
128.101.46.92,"UNIVER-233-Z (University of Minnesota)"
128.101.46.99,"UNIVER-233-Z (University of Minnesota)"
128.101.56.12,"UNIVER-233-Z (University of Minnesota)"
128.101.56.127,"UNIVER-233-Z (University of Minnesota)"
128.101.56.142,"UNIVER-233-Z (University of Minnesota)"
128.101.56.159,"UNIVER-233-Z (University of Minnesota)"
128.101.56.162,"UNIVER-233-Z (University of Minnesota)"
128.101.56.169,"UNIVER-233-Z (University of Minnesota)"
128.101.56.184,"UNIVER-233-Z (University of Minnesota)"
128.101.56.186,"UNIVER-233-Z (University of Minnesota)"
128.101.56.194,"UNIVER-233-Z (University of Minnesota)"
128.101.56.195,"UNIVER-233-Z (University of Minnesota)"
128.101.56.207,"UNIVER-233-Z (University of Minnesota)"
128.101.56.221,"UNIVER-233-Z (University of Minnesota)"
128.101.56.24,"UNIVER-233-Z (University of Minnesota)"
128.101.56.251,"UNIVER-233-Z (University of Minnesota)"
128.101.56.31,"UNIVER-233-Z (University of Minnesota)"
128.101.56.41,"UNIVER-233-Z (University of Minnesota)"
128.101.56.44,"UNIVER-233-Z (University of Minnesota)"
128.101.56.62,"UNIVER-233-Z (University of Minnesota)"
128.101.56.67,"UNIVER-233-Z (University of Minnesota)"
128.101.56.68,"UNIVER-233-Z (University of Minnesota)"
128.101.56.7,"UNIVER-233-Z (University of Minnesota)"
128.101.56.70,"UNIVER-233-Z (University of Minnesota)"
128.101.56.83,"UNIVER-233-Z (University of Minnesota)"
128.101.56.86,"UNIVER-233-Z (University of Minnesota)"
128.101.56.98,"UNIVER-233-Z (University of Minnesota)"
128.101.81.207,"UNIVER-233-Z (University of Minnesota)"
128.101.84.66,"UNIVER-233-Z (University of Minnesota)"
128.101.91.173,"UNIVER-233-Z (University of Minnesota)"
128.102.236.84,"NASA (National Aeronautics and Space Administration)"
128.103.10.107,"HARVAR (Harvard University)"
128.103.10.144,"HARVAR (Harvard University)"
128.103.10.149,"HARVAR (Harvard University)"
128.103.10.25,"HARVAR (Harvard University)"
128.103.10.254,"HARVAR (Harvard University)"
128.103.10.84,"HARVAR (Harvard University)"
128.103.135.175,"HARVAR (Harvard University)"
128.103.135.193,"HARVAR (Harvard University)"
128.103.186.114,"HARVAR (Harvard University)"
128.103.186.138,"HARVAR (Harvard University)"
128.103.187.216,"HARVAR (Harvard University)"
128.103.187.32,"HARVAR (Harvard University)"
128.103.187.92,"HARVAR (Harvard University)"
128.103.187.99,"HARVAR (Harvard University)"
128.103.224.178,"HARVAR (Harvard University)"
128.103.224.4,"HARVAR (Harvard University)"
128.103.233.118,"HARVAR (Harvard University)"
128.103.233.40,"HARVAR (Harvard University)"
128.103.236.194,"HARVAR (Harvard University)"
128.103.40.11,"HARVAR (Harvard University)"
128.103.40.74,"HARVAR (Harvard University)"
128.103.40.81,"HARVAR (Harvard University)"
128.103.40.85,"HARVAR (Harvard University)"
128.103.54.160,"HARVAR (Harvard University)"
128.103.90.107,"HARVAR (Harvard University)"
128.103.90.108,"HARVAR (Harvard University)"
128.103.90.116,"HARVAR (Harvard University)"
128.103.90.168,"HARVAR (Harvard University)"
128.103.90.173,"HARVAR (Harvard University)"
128.103.90.188,"HARVAR (Harvard University)"
128.103.90.194,"HARVAR (Harvard University)"
128.103.90.209,"HARVAR (Harvard University)"
128.103.90.27,"HARVAR (Harvard University)"
128.103.90.60,"HARVAR (Harvard University)"
128.103.94.200,"HARVAR (Harvard University)"
128.103.96.131,"HARVAR (Harvard University)"
128.103.96.142,"HARVAR (Harvard University)"
128.103.96.84,"HARVAR (Harvard University)"
128.104.10.126,"UWM-3 (University of Wisconsin Madison)"
128.104.10.128,"UWM-3 (University of Wisconsin Madison)"
128.104.10.16,"UWM-3 (University of Wisconsin Madison)"
128.104.10.192,"UWM-3 (University of Wisconsin Madison)"
128.104.10.193,"UWM-3 (University of Wisconsin Madison)"
128.104.10.55,"UWM-3 (University of Wisconsin Madison)"
128.104.10.58,"UWM-3 (University of Wisconsin Madison)"
128.104.10.92,"UWM-3 (University of Wisconsin Madison)"
128.104.11.132,"UWM-3 (University of Wisconsin Madison)"
128.104.11.169,"UWM-3 (University of Wisconsin Madison)"
128.104.11.179,"UWM-3 (University of Wisconsin Madison)"
128.104.11.190,"UWM-3 (University of Wisconsin Madison)"
128.104.11.56,"UWM-3 (University of Wisconsin Madison)"
128.104.112.117,"UWM-3 (University of Wisconsin Madison)"
128.104.112.179,"UWM-3 (University of Wisconsin Madison)"
128.104.113.172,"UWM-3 (University of Wisconsin Madison)"
128.104.113.207,"UWM-3 (University of Wisconsin Madison)"
128.104.113.63,"UWM-3 (University of Wisconsin Madison)"
128.104.117.127,"UWM-3 (University of Wisconsin Madison)"
128.104.117.140,"UWM-3 (University of Wisconsin Madison)"
128.104.117.144,"UWM-3 (University of Wisconsin Madison)"
128.104.117.149,"UWM-3 (University of Wisconsin Madison)"
